x-coordinate,y-coordinate
1.048097,0.444459
0.333405,0.454511
1.841207,1.038919
1.643906,1.467966
0.018304,1.226176
0.377021,0.080917
1.643831,1.423615
0.73093,1.186551
0.876153,0.433439
1.162999,1.786148
0.928173,1.195818
0.159435,0.224183
1.787508,1.552259
1.196817,0.355271
1.140363,0.678471
0.338308,0.269809
1.77068,0.015025
1.574833,1.018695
1.684061,0.015119
0.452767,1.5833
1.697527,0.474167
1.83097,1.595454
0.78391,0.737069
0.913424,0.6757
1.209563,0.074306
0.690262,0.148452
0.50662,1.219172
1.981069,1.570927
1.487434,0.972373
1.516708,1.985631
1.141953,1.801613
0.938135,1.146082
1.542905,0.923956
1.388571,1.814221
1.747726,0.023415
1.626293,1.007736
0.757161,0.961157
0.62478,1.153431
1.766667,1.311221
0.346628,1.071781
0.202064,1.823088
0.265963,0.567038
0.18939,0.096566
0.109929,1.706454
0.012723,1.255098
0.222292,1.000585
0.231867,1.758766
1.35832,0.850826
0.894152,1.368347
0.467759,1.701994
0.581543,0.195832
1.282969,0.114996
0.478291,1.148824
0.932467,1.332165
0.21736,1.913039
0.840086,1.522661
1.440886,0.033749
0.161039,1.654535
0.980912,0.75241
1.766584,1.18005
1.148796,0.691191
1.380098,1.68583
0.386372,1.275822
0.142877,0.880444
0.26192,0.061103
0.027992,0.442175
1.731427,0.883528
1.47417,1.111141
1.374065,0.910155
1.831325,0.175325
0.457723,1.877705
1.874126,1.740186
1.478546,1.549956
1.435609,1.855556
0.433605,1.100139
